row ID,row m/z,row retention time,Aludoviciana_pipe-APW.raw filtered Peak height,AmericanSpirit_pipe-APW.raw filtered Peak height,Auvaursi_pipe-APW.raw filtered Peak height,Blank_pipe-APW.raw filtered Peak height,Ceramic_Pipe_1-APW.raw filtered Peak height,Csericea_pipe-APW.raw filtered Peak height,Gshallon_pipe-APW.raw filtered Peak height,Linflata_pipe-APW.raw filtered Peak height,Nattenuata_pipe-APW.raw filtered Peak height,Nglauca_pipe-APW.raw filtered Peak height,Nobtusifolia_pipe-APW.raw filtered Peak height,Nquadrivalvis_pipe-APW.raw filtered Peak height,Nrustica_pipe-APW.raw filtered Peak height,Ntabacum_pipe-APW.raw filtered Peak height,Rglabra_pipe-APW.raw filtered Peak height,Ssonomensis_pipe-APW.raw filtered Peak height,Tbrevifolia_pipe-APW.raw filtered Peak height,Vthapsus_pipe-APW.raw filtered Peak height
87,215.1065327,8.918185455,11866,0,0,0,0,0,3353,0,6330,3944,8537,3091,10141,0,0,2140,3174,12418
88,433.3093185,11.6667875,11860,0,0,0,0,0,0,2820,12817,2760,3372,2510,0,0,0,0,0,2972
89,167.1454926,3.891221875,11819,2135,6901,0,0,3136,11685,11804,3369,3971,5671,3000,3237,2261,17797,13663,4497,29349
90,209.1511337,6.380658,11675,0,0,0,0,0,3305,15152,2685,3180,11388,0,0,0,0,15991,7284,20465
91,232.0979919,10.07523333,11640,0,0,0,0,0,0,2195,0,0,5811,0,0,0,0,0,0,0
92,223.1094055,5.657973,11432,0,2370,0,0,0,3401,5559,2809,2636,4584,0,6064,0,0,7989,0,13010
93,310.1815796,6.611925,11403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2472,0,0
94,169.1605835,3.6138,11390,0,0,0,0,0,0,0,0,0,0,0,0,2937,0,0,0,0
95,181.1299095,4.0171025,11378,0,0,0,0,0,0,2416,0,0,0,0,0,0,0,21194,0,3165
96,197.0956682,5.035434286,10888,3379,5276,0,0,0,6527,6233,3156,3079,4265,2565,6106,2752,4582,6852,0,9785
97,161.0997348,3.033546667,10773,2332,6867,0,0,2782,2343,0,0,0,3085,0,0,0,2392,2265,0,5205
98,366.2795105,11.0866,10693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,316.8894386,0.766723,10664,0,14799,0,0,3379,0,10725,0,0,0,0,0,2762,0,11980,2328,13232
100,216.1348724,4.762538,10583,0,0,0,0,0,0,2217,5577,0,0,0,2471,0,0,0,0,3376
101,122.9181366,0.701870875,10566,9532,5562,0,0,3578,6245,9302,9355,11146,7754,9383,8614,7699,10089,4316,7025,4876
102,245.1179207,5.056532,10453,0,0,0,0,0,0,5186,2570,3419,0,4226,5972,2437,2095,2914,0,4622
103,279.2599779,10.8637087,10234,4356,3379,0,0,2388,13610,4151,7767,6810,18174,4631,3015,4592,3176,8877,6736,19675
104,153.1294098,3.430905833,10185,0,7576,0,0,2571,10223,9356,3990,2810,4669,2034,3207,0,0,11926,3014,0
105,430.2126363,11.02236667,9934,0,0,0,0,0,0,2545,0,0,0,0,26586,0,0,0,0,0
106,336.9019908,0.639234967,9790,4586,10245,6836,3947,4785,7508,8062,5104,5574,6667,5652,6845,7722,7525,7718,4230,8769
107,212.8311157,0.721008375,9732,15447,0,0,0,0,0,0,0,7118,0,23771,11430,3041,0,2500,0,3222
108,213.124691,5.2218125,9726,0,5107,0,0,2276,6471,4114,3203,2809,3662,0,5410,0,9679,5469,2739,0
109,243.1322174,10.64664,9659,16112,7088,0,0,3204,0,48820,70785,35475,109150,35812,15251,12646,7513,0,3856,0
110,165.1301483,3.942936667,9517,2012,7333,0,0,4132,9053,6074,2937,2410,3766,0,2032,0,16312,6475,3876,19851
111,229.1250076,10.7852,9372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,506.316864,11.9226,9304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,197.1172555,3.535017273,9230,0,3542,0,0,0,4046,6335,2100,2470,3423,2676,4344,0,0,11385,0,18943
114,214.1290054,4.350215,9216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3181
115,185.0977478,4.604794545,9050,0,6055,0,0,0,5928,5051,0,3883,4432,2033,7151,0,6289,5401,0,8884
