row ID,row m/z,row retention time,116APW.raw filtered Peak height,116MTBE.raw filtered Peak height,116TA.raw filtered Peak height,Auvaursi_pipe-APW.raw filtered Peak height,Auvaursi_pipe-MTBE.raw filtered Peak height,Auvaursi_pipe-TA.raw filtered Peak height,Csericea_pipe-APW.raw filtered Peak height,Csericea_pipe-MTBE.raw filtered Peak height,Csericea_pipe-TA.raw filtered Peak height,Nattenuata_pipe-APW.raw filtered Peak height,Nattenuata_pipe-MTBE.raw filtered Peak height,Nattenuata_pipe-TA.raw filtered Peak height,Nquadrivalvis_pipe-APW.raw filtered Peak height,Nquadrivalvis_pipe-MTBE.raw filtered Peak height,Nquadrivalvis_pipe-TA.raw filtered Peak height,Nrustica_pipe-APW.raw filtered Peak height,Nrustica_pipe-MTBE.raw filtered Peak height,Nrustica_pipe-TA.raw filtered Peak height,Ntabacum_pipe-APW.raw filtered Peak height,Ntabacum_pipe-MTBE.raw filtered Peak height,Ntabacum_pipe-TA.raw filtered Peak height,Rglabra_pipe-APW.raw filtered Peak height,Rglabra_pipe-MTBE.raw filtered Peak height,Rglabra_pipe-TA.raw filtered Peak height,Tbrevifolia_pipe-APW.raw filtered Peak height,Tbrevifolia_pipe-MTBE.raw filtered Peak height,Tbrevifolia_pipe-TA.raw filtered Peak height,Blank_pipe-APW.raw filtered Peak height,Blank_pipe-MTBE.raw filtered Peak height,Blank_pipe-TA.raw filtered Peak height
50,217.172074,5.318140417,63020,0,16450,30581,0,17856,15750,0,0,20480,0,16783,18722,34352,14095,62441,0,49380,23468,0,19381,132354,22435,28965,35336,0,21906,0,0,0
51,387.1860784,10.93495,63006,10171,13345,0,0,0,0,55565,0,0,17558,0,0,0,0,0,23366,0,0,0,0,0,0,0,0,0,0,0,0,0
52,692.4141846,5.49615,62939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,415.2298584,11.3451,62448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,169.1649068,3.959543333,62196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11734,0,45143,0,0,0,0,0,0
55,181.1712296,4.817854,61723,0,19426,28698,0,25957,15836,0,11385,18809,0,16875,13158,18566,13246,16282,0,28349,10536,0,0,109893,0,30310,21844,0,16734,0,0,0
56,736.430481,5.68233,61324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,367.2093506,11.29325,60316,103544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,266.1750081,8.644506667,60243,150811,22381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,299.1693726,9.92738,59853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,229.1710663,6.06753,59388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,365.1586609,0.8348,59055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,304.3026428,10.4071,58252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,248.2397461,10.1138,58181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,648.3864136,5.29693,58006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,227.1487249,6.502396667,57638,0,0,0,0,0,0,0,0,0,0,0,0,12589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,273.1618703,5.58726,57237,0,11751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,153.1415558,3.742925,56205,0,28574,43060,0,41485,14254,0,12454,19696,0,20345,12381,0,12202,22180,0,45002,13832,0,15418,178920,30432,51490,29017,0,25381,0,0,0
68,565.2816162,4.85935,55553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
